파일번호(File_No),파일명(File_Name),파일저장경로(Directory),대상물번호(Obj_Num),촬영각도(Cam_Ang),촬영시각(Date_Time),부위(Obj_Type),실외온도(Out_Temp),실외습도(Out_Hum),실내온도(In_Temp),실내습도(In_Hum),실내조도(In_Illum),실제판독명(Act_Diag)
1,a1_26(1).jpg,https://www.bigdatahub.go.kr/images/disease/,26,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병+그을음병
2,a1_26(2).jpg,https://www.bigdatahub.go.kr/images/disease/,26,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병+그을음병
3,a1_48(1).jpg,https://www.bigdatahub.go.kr/images/disease/,48,1,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
4,a1_48(2).jpg,https://www.bigdatahub.go.kr/images/disease/,48,2,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
5,a1_48(3).jpg,https://www.bigdatahub.go.kr/images/disease/,48,3,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
6,a1_48(4).jpg,https://www.bigdatahub.go.kr/images/disease/,48,4,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
7,a1_48(5).jpg,https://www.bigdatahub.go.kr/images/disease/,48,5,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
8,a1_48(6).jpg,https://www.bigdatahub.go.kr/images/disease/,48,6,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
9,a1_48(7).jpg,https://www.bigdatahub.go.kr/images/disease/,48,7,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
10,a1_48(8).jpg,https://www.bigdatahub.go.kr/images/disease/,48,8,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
11,a1_48(9).jpg,https://www.bigdatahub.go.kr/images/disease/,48,9,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
12,a1_57(1).jpg,https://www.bigdatahub.go.kr/images/disease/,57,1,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
13,a1_57(2).jpg,https://www.bigdatahub.go.kr/images/disease/,57,2,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
14,a1_57(3).jpg,https://www.bigdatahub.go.kr/images/disease/,57,3,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
15,a1_57(4).jpg,https://www.bigdatahub.go.kr/images/disease/,57,4,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
16,a1_57(5).jpg,https://www.bigdatahub.go.kr/images/disease/,57,5,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
17,a1_57(6).jpg,https://www.bigdatahub.go.kr/images/disease/,57,6,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
18,a1_57(7).jpg,https://www.bigdatahub.go.kr/images/disease/,57,7,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
19,a1_57(8).jpg,https://www.bigdatahub.go.kr/images/disease/,57,8,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
20,a1_57(9).jpg,https://www.bigdatahub.go.kr/images/disease/,57,9,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
21,a1_59(1).jpg,https://www.bigdatahub.go.kr/images/disease/,59,1,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
22,a1_59(2).jpg,https://www.bigdatahub.go.kr/images/disease/,59,2,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
23,a1_59(3).jpg,https://www.bigdatahub.go.kr/images/disease/,59,3,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
24,a1_59(4).jpg,https://www.bigdatahub.go.kr/images/disease/,59,4,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
25,a1_59(5).jpg,https://www.bigdatahub.go.kr/images/disease/,59,5,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
26,a1_59(6).jpg,https://www.bigdatahub.go.kr/images/disease/,59,6,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
27,a1_59(7).jpg,https://www.bigdatahub.go.kr/images/disease/,59,7,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
28,a1_59(8).jpg,https://www.bigdatahub.go.kr/images/disease/,59,8,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
29,a1_59(9).jpg,https://www.bigdatahub.go.kr/images/disease/,59,9,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병+모자이크병
