파일번호(File_No),파일명(File_Name),파일저장경로(Directory),대상물번호(Obj_Num),촬영각도(Cam_Ang),촬영시각(Date_Time),부위(Obj_Type),실외온도(Out_Temp),실외습도(Out_Hum),실내온도(In_Temp),실내습도(In_Hum),실내조도(In_Illum),실제판독명(Act_Diag)
1,a1_30(1).jpg,https://www.bigdatahub.go.kr/images/disease/,30,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병
2,a1_30(2).jpg,https://www.bigdatahub.go.kr/images/disease/,30,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병
3,a1_30(3).jpg,https://www.bigdatahub.go.kr/images/disease/,30,3,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병
4,a1_30(4).jpg,https://www.bigdatahub.go.kr/images/disease/,30,4,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병
5,a1_30(5).jpg,https://www.bigdatahub.go.kr/images/disease/,30,5,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병
6,a1_30(6).jpg,https://www.bigdatahub.go.kr/images/disease/,30,6,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병
7,a1_30(7).jpg,https://www.bigdatahub.go.kr/images/disease/,30,7,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병
8,a1_30(8).jpg,https://www.bigdatahub.go.kr/images/disease/,30,8,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병
9,a1_30(9).jpg,https://www.bigdatahub.go.kr/images/disease/,30,9,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병
10,a1_35(1).jpg,https://www.bigdatahub.go.kr/images/disease/,35,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+가루이+노균병
11,a1_35(2).jpg,https://www.bigdatahub.go.kr/images/disease/,35,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+가루이+노균병
12,a1_35(3).jpg,https://www.bigdatahub.go.kr/images/disease/,35,3,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+가루이+노균병
