파일번호(File_No),파일명(File_Name),파일저장경로(Directory),대상물번호(Obj_Num),촬영각도(Cam_Ang),촬영시각(Date_Time),부위(Obj_Type),실외온도(Out_Temp),실외습도(Out_Hum),실내온도(In_Temp),실내습도(In_Hum),실내조도(In_Illum),실제판독명(Act_Diag)
1,a1_9(1).jpg,https://www.bigdatahub.go.kr/images/disease/,9,1,2020-09-24 15:19,3,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,덩굴마름병
2,a1_9(2).jpg,https://www.bigdatahub.go.kr/images/disease/,9,2,2020-09-24 15:19,3,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,덩굴마름병
3,a1_51(1).jpg,https://www.bigdatahub.go.kr/images/disease/,51,1,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,덩굴마름병+기타1
4,a1_51(2).jpg,https://www.bigdatahub.go.kr/images/disease/,51,2,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,덩굴마름병+기타1
5,a1_51(3).jpg,https://www.bigdatahub.go.kr/images/disease/,51,3,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,덩굴마름병+기타1
6,a1_51(4).jpg,https://www.bigdatahub.go.kr/images/disease/,51,4,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,덩굴마름병+기타1
7,a1_51(5).jpg,https://www.bigdatahub.go.kr/images/disease/,51,5,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,덩굴마름병+기타1
8,a1_51(6).jpg,https://www.bigdatahub.go.kr/images/disease/,51,6,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,덩굴마름병+기타1
9,a1_51(7).jpg,https://www.bigdatahub.go.kr/images/disease/,51,7,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,덩굴마름병+기타1
10,a1_51(8).jpg,https://www.bigdatahub.go.kr/images/disease/,51,8,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,덩굴마름병+기타1
11,a1_51(9).jpg,https://www.bigdatahub.go.kr/images/disease/,51,9,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,덩굴마름병+기타1
12,a1_98(1).jpg,https://www.bigdatahub.go.kr/images/disease/,98,1,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
13,a1_98(2).jpg,https://www.bigdatahub.go.kr/images/disease/,98,2,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
14,a1_98(3).jpg,https://www.bigdatahub.go.kr/images/disease/,98,3,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
15,a1_98(4).jpg,https://www.bigdatahub.go.kr/images/disease/,98,4,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
16,a1_98(5).jpg,https://www.bigdatahub.go.kr/images/disease/,98,5,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
17,a1_98(6).jpg,https://www.bigdatahub.go.kr/images/disease/,98,6,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
18,a1_98(7).jpg,https://www.bigdatahub.go.kr/images/disease/,98,7,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
19,a1_98(8).jpg,https://www.bigdatahub.go.kr/images/disease/,98,8,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
20,a1_98(9).jpg,https://www.bigdatahub.go.kr/images/disease/,98,9,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
21,a1_101(1).jpg,https://www.bigdatahub.go.kr/images/disease/,101,1,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
22,a1_101(2).jpg,https://www.bigdatahub.go.kr/images/disease/,101,2,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
23,a1_101(3).jpg,https://www.bigdatahub.go.kr/images/disease/,101,3,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
24,a1_101(4).jpg,https://www.bigdatahub.go.kr/images/disease/,101,4,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
25,a1_101(5).jpg,https://www.bigdatahub.go.kr/images/disease/,101,5,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
26,a1_101(6).jpg,https://www.bigdatahub.go.kr/images/disease/,101,6,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
27,a1_101(7).jpg,https://www.bigdatahub.go.kr/images/disease/,101,7,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
28,a1_101(8).jpg,https://www.bigdatahub.go.kr/images/disease/,101,8,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
29,a1_101(9).jpg,https://www.bigdatahub.go.kr/images/disease/,101,9,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,덩굴마름병
30,a1_106(1).jpg,https://www.bigdatahub.go.kr/images/disease/,106,1,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+덩굴마름병
31,a1_106(2).jpg,https://www.bigdatahub.go.kr/images/disease/,106,2,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+덩굴마름병
32,a1_106(3).jpg,https://www.bigdatahub.go.kr/images/disease/,106,3,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+덩굴마름병
33,a1_106(4).jpg,https://www.bigdatahub.go.kr/images/disease/,106,4,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+덩굴마름병
34,a1_106(5).jpg,https://www.bigdatahub.go.kr/images/disease/,106,5,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+덩굴마름병
35,a1_106(6).jpg,https://www.bigdatahub.go.kr/images/disease/,106,6,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+덩굴마름병
36,a1_106(7).jpg,https://www.bigdatahub.go.kr/images/disease/,106,7,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+덩굴마름병
37,a1_106(8).jpg,https://www.bigdatahub.go.kr/images/disease/,106,8,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+덩굴마름병
38,a1_106(9).jpg,https://www.bigdatahub.go.kr/images/disease/,106,9,2020-11-25 13:56,1,20.0 ℃,28.6 %,23.4 ℃,46.4 %,10410 lux,흰가루병+덩굴마름병
39,c1_30(1).jpg,https://www.bigdatahub.go.kr/images/disease/,30,1,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,덩굴마름병
40,c1_30(2).jpg,https://www.bigdatahub.go.kr/images/disease/,30,2,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,덩굴마름병
41,c1_30(3).jpg,https://www.bigdatahub.go.kr/images/disease/,30,3,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,덩굴마름병
42,c1_30(4).jpg,https://www.bigdatahub.go.kr/images/disease/,30,4,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,덩굴마름병
43,c1_30(5).jpg,https://www.bigdatahub.go.kr/images/disease/,30,5,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,덩굴마름병
44,c1_30(6).jpg,https://www.bigdatahub.go.kr/images/disease/,30,6,2020-09-28 14:30,1,29.2 ℃,28.7 %,28.6 ℃,32.1 %,9910 lux,덩굴마름병
