파일번호(File_No),파일명(File_Name),파일저장경로(Directory),대상물번호(Obj_Num),촬영각도(Cam_Ang),촬영시각(Date_Time),부위(Obj_Type),실외온도(Out_Temp),실외습도(Out_Hum),실내온도(In_Temp),실내습도(In_Hum),실내조도(In_Illum),실제판독명(Act_Diag)
1,a1_26(1).jpg,https://www.bigdatahub.go.kr/images/disease/,26,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병+그을음병
2,a1_26(2).jpg,https://www.bigdatahub.go.kr/images/disease/,26,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병+그을음병
3,a1_37(1).jpg,https://www.bigdatahub.go.kr/images/disease/,37,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+모자이크병
4,a1_37(2).jpg,https://www.bigdatahub.go.kr/images/disease/,37,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+모자이크병
5,a1_40(1).jpg,https://www.bigdatahub.go.kr/images/disease/,40,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병+모자이크병+흰가루병
6,a1_40(2).jpg,https://www.bigdatahub.go.kr/images/disease/,40,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병+모자이크병+흰가루병
7,a1_40(3).jpg,https://www.bigdatahub.go.kr/images/disease/,40,3,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병+모자이크병+흰가루병
8,a1_40(4).jpg,https://www.bigdatahub.go.kr/images/disease/,40,4,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병+모자이크병+흰가루병
9,a1_40(5).jpg,https://www.bigdatahub.go.kr/images/disease/,40,5,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병+모자이크병+흰가루병
10,a1_40(6).jpg,https://www.bigdatahub.go.kr/images/disease/,40,6,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병+모자이크병+흰가루병
11,a1_40(7).jpg,https://www.bigdatahub.go.kr/images/disease/,40,7,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병+모자이크병+흰가루병
12,a1_40(8).jpg,https://www.bigdatahub.go.kr/images/disease/,40,8,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병+모자이크병+흰가루병
13,a1_40(9).jpg,https://www.bigdatahub.go.kr/images/disease/,40,9,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,노균병+모자이크병+흰가루병
14,a1_45(1).jpg,https://www.bigdatahub.go.kr/images/disease/,45,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병
15,a1_45(2).jpg,https://www.bigdatahub.go.kr/images/disease/,45,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병
16,a1_45(3).jpg,https://www.bigdatahub.go.kr/images/disease/,45,3,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병
17,a1_45(4).jpg,https://www.bigdatahub.go.kr/images/disease/,45,4,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병
18,a1_45(5).jpg,https://www.bigdatahub.go.kr/images/disease/,45,5,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병
19,a1_45(6).jpg,https://www.bigdatahub.go.kr/images/disease/,45,6,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병
20,a1_45(7).jpg,https://www.bigdatahub.go.kr/images/disease/,45,7,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병
21,a1_45(8).jpg,https://www.bigdatahub.go.kr/images/disease/,45,8,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병
22,a1_45(9).jpg,https://www.bigdatahub.go.kr/images/disease/,45,9,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,모자이크병
23,a1_50(1).jpg,https://www.bigdatahub.go.kr/images/disease/,50,1,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,모자이크병+탄저병
24,a1_50(2).jpg,https://www.bigdatahub.go.kr/images/disease/,50,2,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,모자이크병+탄저병
25,a1_50(3).jpg,https://www.bigdatahub.go.kr/images/disease/,50,3,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,모자이크병+탄저병
26,a1_50(4).jpg,https://www.bigdatahub.go.kr/images/disease/,50,4,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,모자이크병+탄저병
27,a1_50(5).jpg,https://www.bigdatahub.go.kr/images/disease/,50,5,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,모자이크병+탄저병
28,a1_50(6).jpg,https://www.bigdatahub.go.kr/images/disease/,50,6,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,모자이크병+탄저병
29,a1_50(7).jpg,https://www.bigdatahub.go.kr/images/disease/,50,7,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,모자이크병+탄저병
30,a1_50(8).jpg,https://www.bigdatahub.go.kr/images/disease/,50,8,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,모자이크병+탄저병
