파일번호(File_No),파일명(File_Name),파일저장경로(Directory),대상물번호(Obj_Num),촬영각도(Cam_Ang),촬영시각(Date_Time),부위(Obj_Type),실외온도(Out_Temp),실외습도(Out_Hum),실내온도(In_Temp),실내습도(In_Hum),실내조도(In_Illum),실제판독명(Act_Diag)
1,a1_60(1).jpg,https://www.bigdatahub.go.kr/images/disease/,60,1,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,세균성모무늬병
2,a1_60(2).jpg,https://www.bigdatahub.go.kr/images/disease/,60,2,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,세균성모무늬병
3,a1_60(3).jpg,https://www.bigdatahub.go.kr/images/disease/,60,3,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,세균성모무늬병
4,a1_60(4).jpg,https://www.bigdatahub.go.kr/images/disease/,60,4,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,세균성모무늬병
5,a1_60(5).jpg,https://www.bigdatahub.go.kr/images/disease/,60,5,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,세균성모무늬병
6,a1_60(6).jpg,https://www.bigdatahub.go.kr/images/disease/,60,6,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,세균성모무늬병
7,a1_60(7).jpg,https://www.bigdatahub.go.kr/images/disease/,60,7,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,세균성모무늬병
8,a1_60(8).jpg,https://www.bigdatahub.go.kr/images/disease/,60,8,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,세균성모무늬병
9,a1_60(9).jpg,https://www.bigdatahub.go.kr/images/disease/,60,9,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,세균성모무늬병
10,a1_74(1).jpg,https://www.bigdatahub.go.kr/images/disease/,74,1,2020-09-28 14:46,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,세균성모무늬병
