파일번호(File_No),파일명(File_Name),파일저장경로(Directory),대상물번호(Obj_Num),촬영각도(Cam_Ang),촬영시각(Date_Time),부위(Obj_Type),실외온도(Out_Temp),실외습도(Out_Hum),실내온도(In_Temp),실내습도(In_Hum),실내조도(In_Illum),실제판독명(Act_Diag)
1,a1_3(1).jpg,https://www.bigdatahub.go.kr/images/disease/,3,1,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
2,a1_3(2).jpg,https://www.bigdatahub.go.kr/images/disease/,3,2,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
3,a1_3(3).jpg,https://www.bigdatahub.go.kr/images/disease/,3,3,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
4,a1_21(1).jpg,https://www.bigdatahub.go.kr/images/disease/,21,1,2020-09-24 15:19,3,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
5,a1_22(1).jpg,https://www.bigdatahub.go.kr/images/disease/,22,1,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
6,a1_22(2).jpg,https://www.bigdatahub.go.kr/images/disease/,22,2,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
7,a1_22(3).jpg,https://www.bigdatahub.go.kr/images/disease/,22,3,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
8,a1_24(1).jpg,https://www.bigdatahub.go.kr/images/disease/,24,1,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
9,a1_24(2).jpg,https://www.bigdatahub.go.kr/images/disease/,24,2,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
10,a1_24(3).jpg,https://www.bigdatahub.go.kr/images/disease/,24,3,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
11,a1_25(1).jpg,https://www.bigdatahub.go.kr/images/disease/,25,1,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
12,a1_25(2).jpg,https://www.bigdatahub.go.kr/images/disease/,25,2,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
13,a1_25(3).jpg,https://www.bigdatahub.go.kr/images/disease/,25,3,2020-09-24 15:19,2,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
14,a1_34(1).jpg,https://www.bigdatahub.go.kr/images/disease/,34,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
15,a1_34(2).jpg,https://www.bigdatahub.go.kr/images/disease/,34,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
16,a1_34(3).jpg,https://www.bigdatahub.go.kr/images/disease/,34,3,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
17,a1_34(4).jpg,https://www.bigdatahub.go.kr/images/disease/,34,4,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
18,a1_34(5).jpg,https://www.bigdatahub.go.kr/images/disease/,34,5,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
19,a1_34(6).jpg,https://www.bigdatahub.go.kr/images/disease/,34,6,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
20,a1_34(7).jpg,https://www.bigdatahub.go.kr/images/disease/,34,7,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
21,a1_34(8).jpg,https://www.bigdatahub.go.kr/images/disease/,34,8,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
22,a1_34(9).jpg,https://www.bigdatahub.go.kr/images/disease/,34,9,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
23,a1_39(1).jpg,https://www.bigdatahub.go.kr/images/disease/,39,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
24,a1_39(2).jpg,https://www.bigdatahub.go.kr/images/disease/,39,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
25,a1_39(3).jpg,https://www.bigdatahub.go.kr/images/disease/,39,3,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
26,a1_39(4).jpg,https://www.bigdatahub.go.kr/images/disease/,39,4,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
27,a1_39(5).jpg,https://www.bigdatahub.go.kr/images/disease/,39,5,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
28,a1_39(6).jpg,https://www.bigdatahub.go.kr/images/disease/,39,6,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
29,a1_39(7).jpg,https://www.bigdatahub.go.kr/images/disease/,39,7,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
30,a1_39(8).jpg,https://www.bigdatahub.go.kr/images/disease/,39,8,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,정상
