파일번호(File_No),파일명(File_Name),파일저장경로(Directory),대상물번호(Obj_Num),촬영각도(Cam_Ang),촬영시각(Date_Time),부위(Obj_Type),실외온도(Out_Temp),실외습도(Out_Hum),실내온도(In_Temp),실내습도(In_Hum),실내조도(In_Illum),실제판독명(Act_Diag)
1,a1_10(1).jpg,https://www.bigdatahub.go.kr/images/disease/,10,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병+기타12
2,a1_11(1).jpg,https://www.bigdatahub.go.kr/images/disease/,11,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
3,a1_11(2).jpg,https://www.bigdatahub.go.kr/images/disease/,11,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
4,a1_11(3).jpg,https://www.bigdatahub.go.kr/images/disease/,11,3,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
5,a1_11(4).jpg,https://www.bigdatahub.go.kr/images/disease/,11,4,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
6,a1_11(5).jpg,https://www.bigdatahub.go.kr/images/disease/,11,5,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
7,a1_11(6).jpg,https://www.bigdatahub.go.kr/images/disease/,11,6,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
8,a1_11(7).jpg,https://www.bigdatahub.go.kr/images/disease/,11,7,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
9,a1_11(8).jpg,https://www.bigdatahub.go.kr/images/disease/,11,8,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
10,a1_11(9).jpg,https://www.bigdatahub.go.kr/images/disease/,11,9,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
11,a1_16(1).jpg,https://www.bigdatahub.go.kr/images/disease/,16,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병+기타12
12,a1_17(1).jpg,https://www.bigdatahub.go.kr/images/disease/,17,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병+기타5
13,a1_48(1).jpg,https://www.bigdatahub.go.kr/images/disease/,48,1,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
14,a1_48(2).jpg,https://www.bigdatahub.go.kr/images/disease/,48,2,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
15,a1_48(3).jpg,https://www.bigdatahub.go.kr/images/disease/,48,3,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
16,a1_48(4).jpg,https://www.bigdatahub.go.kr/images/disease/,48,4,2020-09-28 14:33,1,29.2 ℃,28.7 %,32.3 ℃,36.6 %,5630 lux,그을음병+탄저병
