파일번호(File_No),파일명(File_Name),파일저장경로(Directory),대상물번호(Obj_Num),촬영각도(Cam_Ang),촬영시각(Date_Time),부위(Obj_Type),실외온도(Out_Temp),실외습도(Out_Hum),실내온도(In_Temp),실내습도(In_Hum),실내조도(In_Illum),실제판독명(Act_Diag)
1,a1_1(1).jpg,https://www.bigdatahub.go.kr/images/disease/,1,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
2,a1_1(2).jpg,https://www.bigdatahub.go.kr/images/disease/,1,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
3,a1_1(3).jpg,https://www.bigdatahub.go.kr/images/disease/,1,3,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
4,a1_1(4).jpg,https://www.bigdatahub.go.kr/images/disease/,1,4,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
5,a1_1(5).jpg,https://www.bigdatahub.go.kr/images/disease/,1,5,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
6,a1_1(6).jpg,https://www.bigdatahub.go.kr/images/disease/,1,6,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
7,a1_1(7).jpg,https://www.bigdatahub.go.kr/images/disease/,1,7,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
8,a1_1(8).jpg,https://www.bigdatahub.go.kr/images/disease/,1,8,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
9,a1_2(1).jpg,https://www.bigdatahub.go.kr/images/disease/,2,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
10,a1_2(2).jpg,https://www.bigdatahub.go.kr/images/disease/,2,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
11,a1_2(3).jpg,https://www.bigdatahub.go.kr/images/disease/,2,3,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
12,a1_2(4).jpg,https://www.bigdatahub.go.kr/images/disease/,2,4,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
13,a1_2(5).jpg,https://www.bigdatahub.go.kr/images/disease/,2,5,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
14,a1_2(6).jpg,https://www.bigdatahub.go.kr/images/disease/,2,6,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
15,a1_2(7).jpg,https://www.bigdatahub.go.kr/images/disease/,2,7,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
16,a1_2(8).jpg,https://www.bigdatahub.go.kr/images/disease/,2,8,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
17,a1_2(9).jpg,https://www.bigdatahub.go.kr/images/disease/,2,9,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병
18,a1_10(1).jpg,https://www.bigdatahub.go.kr/images/disease/,10,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병+기타12
19,a1_11(1).jpg,https://www.bigdatahub.go.kr/images/disease/,11,1,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
20,a1_11(2).jpg,https://www.bigdatahub.go.kr/images/disease/,11,2,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
21,a1_11(3).jpg,https://www.bigdatahub.go.kr/images/disease/,11,3,2020-09-24 15:19,1,31.2 ℃,31.6 %,31.5 ℃,42.5 %,15030 lux,흰가루병+탄저병
